v1,I(R4)
1,0.00002098607
2,0.00004197214
3,0.00006295821
4,0.00008394428
5,0.0001049303
6,0.0001259164
7,0.0001469025
8,0.0001678886
9,0.0001888746
10,0.0002098607
11,0.0002308468
12,0.0002518328
13,0.0002728189
14,0.000293805
15,0.000314791
16,0.0003357771
17,0.0003567632
18,0.0003777492
19,0.0003987353
20,0.0004197214
21,0.0004407075
22,0.0004616935
23,0.0004826796
24,0.0005036657
25,0.0005246517
26,0.0005456378
27,0.0005666239
28,0.0005876099
29,0.000608596
30,0.0006295821
31,0.0006505682
32,0.0006715542
33,0.0006925403
34,0.0007135264
35,0.0007345124
36,0.0007554985
37,0.0007764846
38,0.0007974706
39,0.0008184567
40,0.0008394428
41,0.0008604288
42,0.0008814149
43,0.000902401
44,0.0009233871
45,0.0009443731
46,0.0009653592
47,0.0009863452
48,0.001007331
49,0.001028317
50,0.001049303
51,0.00107029
52,0.001091276
53,0.001112262
54,0.001133248
55,0.001154234
56,0.00117522
57,0.001196206
58,0.001217192
59,0.001238178
60,0.001259164
61,0.00128015
62,0.001301136
63,0.001322122
64,0.001343108
65,0.001364095
66,0.001385081
67,0.001406067
68,0.001427053
69,0.001448039
70,0.001469025
71,0.001490011
72,0.001510997
73,0.001531983
74,0.001552969
75,0.001573955
76,0.001594941
77,0.001615927
78,0.001636913
79,0.001657899
80,0.001678886
81,0.001699872
82,0.001720858
83,0.001741844
84,0.00176283
85,0.001783816
86,0.001804802
87,0.001825788
88,0.001846774
89,0.00186776
90,0.001888746
91,0.001909732
92,0.001930718
93,0.001951705
94,0.00197269
95,0.001993677
96,0.002014663
97,0.002035649
98,0.002056635
99,0.002077621
100,0.002098607
101,0.002119593
102,0.002140579
103,0.002161565
104,0.002182551
105,0.002203537
106,0.002224523
107,0.00224551
108,0.002266495
109,0.002287482
110,0.002308468
111,0.002329454
112,0.00235044
113,0.002371426
114,0.002392412
115,0.002413398
116,0.002434384
117,0.00245537
118,0.002476356
119,0.002497342
120,0.002518328
121,0.002539314
122,0.002560301
123,0.002581286
124,0.002602273
125,0.002623259
126,0.002644245
127,0.002665231
128,0.002686217
129,0.002707203
130,0.002728189
131,0.002749175
132,0.002770161
133,0.002791147
134,0.002812133
135,0.002833119
136,0.002854106
137,0.002875092
138,0.002896078
139,0.002917064
140,0.00293805
141,0.002959036
142,0.002980022
143,0.003001008
144,0.003021994
145,0.00304298
146,0.003063966
147,0.003084952
148,0.003105938
149,0.003126924
150,0.00314791
151,0.003168897
152,0.003189882
153,0.003210869
154,0.003231855
155,0.003252841
156,0.003273827
157,0.003294813
158,0.003315799
159,0.003336785
160,0.003357771
161,0.003378757
162,0.003399743
163,0.003420729
164,0.003441715
